loan_id,disbursed_amount,asset_cost,ltv,branch_id,state_id,employment_type,disbursal_date,bureau_score,bureau_score_desc,pri_overdue_accts,sec_overdue_accts,total_overdue_accts,delinquent_accts_6m,bureau_inquiries,loan_default,dpd_bucket
418631,35939.0,62876.0,58.85,48,5,Salaried,01-08-18,0,No Bureau History Available,0,0,0,0,0,0,0 - Current
528553,50891.0,61868.0,85.0,3,1,Salaried,22-09-18,0,No Bureau History Available,0,0,0,0,0,1,1-30 DPD (proxy)
591183,52094.0,73020.0,76.01,78,4,Salaried,20-10-18,792,B-Very Low Risk,0,0,0,0,0,0,0 - Current
648273,59313.0,72841.0,82.92,18,4,Self employed,31-10-18,640,G-Low Risk,0,0,0,0,0,1,1-30 DPD (proxy)
556496,59259.0,71601.0,83.8,16,14,Salaried,03-10-18,0,No Bureau History Available,0,0,0,0,0,1,1-30 DPD (proxy)
509763,47993.0,62730.0,80.5,61,6,Self employed,16-09-18,763,B-Very Low Risk,0,0,0,0,0,0,0 - Current
462426,55013.0,72321.0,78.82,251,13,Self employed,24-08-18,738,C-Very Low Risk,0,0,0,0,3,0,0 - Current
623747,67397.0,103500.0,68.6,1,3,Self employed,26-10-18,738,C-Very Low Risk,0,0,0,0,0,0,0 - Current
595715,82686.0,147000.0,57.14,2,4,Self employed,21-10-18,0,No Bureau History Available,0,0,0,0,0,0,0 - Current
439182,56259.0,68271.0,84.96,16,14,Salaried,14-08-18,16,Not Scored: No Activity seen on the customer (Inactive),0,0,0,0,0,1,1-30 DPD (proxy)
483465,37541.0,68317.0,58.55,74,4,Salaried,31-08-18,621,H-Medium Risk,1,0,1,0,0,1,31-60 DPD (proxy)
604990,59013.0,72074.0,83.25,146,14,Not Captured,23-10-18,774,B-Very Low Risk,0,0,0,0,0,1,1-30 DPD (proxy)
439845,45849.0,66040.0,71.17,20,5,Self employed,16-08-18,825,A-Very Low Risk,0,0,0,0,0,0,0 - Current
546198,45349.0,76513.0,61.43,11,3,Self employed,28-09-18,0,No Bureau History Available,0,0,0,0,0,0,0 - Current
462743,44149.0,70353.0,65.38,68,6,Salaried,24-08-18,0,No Bureau History Available,0,0,0,0,1,0,0 - Current
636469,44849.0,73943.0,62.89,17,17,Not Captured,29-10-18,516,K-High Risk,1,0,1,0,0,1,31-60 DPD (proxy)
589296,61713.0,70474.0,88.69,162,4,Self employed,19-10-18,0,No Bureau History Available,0,0,0,0,0,0,0 - Current
634004,61368.0,74300.0,85.0,1,3,Self employed,28-10-18,0,No Bureau History Available,0,0,0,0,0,0,0 - Current
